Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
A Glance at Lowell's Classical Reading,"Pritchard, John Paul","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jan-50,21,4,442,,100312,,,Journal Article,"1800-1899; classical literature; American literature; Lowell, James Russell; poetry; prose",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100312&site=ehost-live
A 'Lost' American Novel,"French, Warren G.",American Literature,00029831,,1-Jan-50,21,,477,,1950001793,,,Journal Article,"1800-1899; American literature; Ingraham, Joseph Holt",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001793&site=ehost-live
A Note on Astoria: Irving's Use of the Robert Stuart Manuscript,"Spaulding, K. A.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-May-50,22,2,150,,100305,,,Journal Article,"1800-1899; Stuart, Robert; American literature; Irving, Washington; Astoria; prose; 'Manuscript Journal'",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100305&site=ehost-live
A Source for the Flogging Incident in White-Jacket,"Procter, Page S.",American Literature,00029831,,1-Jan-50,22,,176,,1950001833,,,Journal Article,"1800-1899; American literature; Melville, Herman",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001833&site=ehost-live
"Addenda to Articles on American Literature Appearing in Current Periodicals, 1920-1945","Cope, Jackson; Davis, Otis B.; Henderson, Samuel; Larsen, Elizabeth A.; Smeale, Joseph",American Literature,00029831,,1-Jan-50,22,,61,,1950001584,,,Journal Article,1900-1999; bibliography; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001584&site=ehost-live
"Addenda to 'Biographical and Critical Studies of Henry James, 1941-1948,' American Literature XX, 424-435","Dunbar, Viola",American Literature,00029831,,1-Jan-50,22,,56,,1950001935,,,Journal Article,"1800-1899; American literature; James, Henry, Jr.",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001935&site=ehost-live
An Early Prose Work of Emerson,"Cameron, Kenneth Walter",American Literature,00029831,,1-Jan-50,22,,332,,1950001758,,,Journal Article,"1800-1899; American literature; Emerson, Ralph Waldo",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001758&site=ehost-live
An Error in The Ambassadors,"Young, Robert E.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-50,22,3,245,,100295,,,Journal Article,"1800-1899; textual errors; chapters; American literature; James, Henry, Jr.; The Ambassadors; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100295&site=ehost-live
Articles on American Literature Appearing in Current Periodicals,"Leary, Lewis",American Literature,00029831,,1-Jan-50,21,,,,1950001576,,,Journal Article,1900-1999; bibliography; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1950001576&site=ehost-live
Benjamin Orange Flower: Father of the Muckrakers,"Fairfield, Roy P.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-50,22,3,272,,100298,,,Journal Article,"1800-1899; periodicals; social reform; muckrakers; American literature; The Arena; Flower, Benjamin Orange",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100298&site=ehost-live
